"adm1","whrc_aboveground_biomass_loss__Mg","umd_tree_cover_loss__ha","whrc_aboveground_co2_emissions__Mg","iso","umd_tree_cover_loss__year"
4,6578368.140539393,30320.897221679574,12060341.590988887,"MMR",2016
5,1659858.6049435856,7089.684948489606,3043074.1090632402,"MMR",2016
6,7662956.488851768,35809.94048124562,14048753.562894909,"MMR",2016
7,564766.761395541,2389.0528990325183,1035405.7292251586,"MMR",2016
8,1462281.280150225,6914.04311940801,2680849.0136087453,"MMR",2016
9,1448018.1128647448,7890.632890229397,2654699.8735853652,"MMR",2016
11,2839253.1435757205,14241.344573393753,5205297.429888821,"MMR",2016
12,6827208.594698335,28202.408688112846,12516549.09028028,"MMR",2016
13,25980021.725350328,124501.136209586,47630039.82980893,"MMR",2016
14,10064307.516771052,43544.00933923549,18451230.447413594,"MMR",2016
15,45617.212843888854,308.38754802445067,83631.55688046289,"MMR",2016
1,582080.2715353447,3260.3652040434413,1067147.1644814655,"MMR",2017
2,2398754.775010532,11396.18214842635,4397717.087519309,"MMR",2017
3,9280779.723909235,41896.41290365657,17014762.82716693,"MMR",2017
4,6968826.671719678,32221.090224115873,12776182.231486075,"MMR",2017
5,1567630.0356496447,6706.136126024917,2873988.3986910167,"MMR",2017
6,7008376.797940612,32794.39404035269,12848690.796224453,"MMR",2017
7,654944.9462492832,2900.9601186060963,1200732.4014570194,"MMR",2017
8,1366418.8256658604,6603.126389426892,2505101.180387411,"MMR",2017
9,1451255.9050999917,7989.830209855984,2660635.8260166515,"MMR",2017
10,131.78128480119426,0.8703222000794077,241.59902213552274,"MMR",2017
11,2887378.036734259,14451.090092837861,5293526.400679477,"MMR",2017
12,6993719.455589578,29697.70071155401,12821819.001914222,"MMR",2017
13,25953926.547328427,123244.00316165175,47582198.67010212,"MMR",2017
14,6303211.270377539,28174.570599281084,11555887.329025488,"MMR",2017
15,69744.72855072949,507.96327412179124,127865.33567633742,"MMR",2017
1,630358.1431438758,3557.1956561100974,1155656.5957637725,"MMR",2018
2,2378282.2649829313,11249.27767338782,4360184.152468707,"MMR",2018
3,6274765.961700767,29055.243404466564,11503737.596451405,"MMR",2018
4,6603366.985397629,31760.81943088088,12106172.806562316,"MMR",2018
5,1038067.7251173961,4171.469582639729,1903124.1627152269,"MMR",2018
6,6189164.611781165,29710.179482342384,11346801.78826547,"MMR",2018
7,363123.51151772315,1613.504287877069,665726.4377824924,"MMR",2018
8,1059832.9327445268,5006.68561975984,1943027.0433649656,"MMR",2018
9,1618312.0121243924,9077.823712397056,2966905.355561386,"MMR",2018
10,44.675914938501904,0.2901033005892586,81.90584405392016,"MMR",2018
11,1910694.5436708217,9516.086122726409,3502939.9967298396,"MMR",2018
12,5275721.977125816,22590.623869994517,9672156.958063995,"MMR",2018
13,19877855.586407144,95725.27187382904,36442735.241746426,"MMR",2018
14,5527111.067385956,25130.155166800454,10133036.956874251,"MMR",2018
15,85934.5288551428,544.1710565005096,157546.63623442853,"MMR",2018
1,931877.9923193255,5043.2876204447275,1708442.985918763,"MMR",2019
2,2081433.0512546608,9915.484783342845,3815960.5939668766,"MMR",2019
3,6406293.050855144,29578.713292745437,11744870.59323443,"MMR",2019
4,6623996.168868967,31402.918988494865,12143992.976259772,"MMR",2019
5,1072774.6642846793,4498.387176370643,1966753.551188579,"MMR",2019
6,6822777.566890208,32172.99839740267,12508425.539298717,"MMR",2019
7,453307.8187690424,2001.5972021316777,831064.3344099108,"MMR",2019
8,805577.667519819,3849.5307805501634,1476892.3904530015,"MMR",2019
9,1737879.8343694357,9702.353436545833,3186113.029677298,"MMR",2019
10,183.54568673543668,1.2328238900892559,336.50042568163394,"MMR",2019
11,1738253.4674746664,8716.919139890648,3186798.023703555,"MMR",2019
12,6261590.251716576,26020.094808955837,11479582.128147054,"MMR",2019
13,23910516.219443165,115438.45872665012,43835946.40231246,"MMR",2019
14,6657514.7191328285,30421.891348932906,12205443.65174352,"MMR",2019
15,93289.84694070231,654.2925931015894,171031.38605795425,"MMR",2019
